File Name,Vessel Group (2018),Vessel Type (2018),AIS Vessel Code,AIS Ship & Cargo Classification,Validation Link
VesselTypeCodes2018.pdf,Cargo,79,79,"Cargo, no additional information",https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=61&page=1
VesselTypeCodes2018.pdf,Tanker,80,80,"Tanker, all ships of this type",https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=62&page=1
VesselTypeCodes2018.pdf,Tanker,81,81,"Tanker, hazardous category A",https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=63&page=1
VesselTypeCodes2018.pdf,Tanker,82,82,"Tanker, hazardous category B",https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=64&page=1
VesselTypeCodes2018.pdf,Tanker,83,83,"Tanker, hazardous category C",https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=65&page=1
VesselTypeCodes2018.pdf,Tanker,84,84,"Tanker, hazardous category D",https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=66&page=1
VesselTypeCodes2018.pdf,Tanker,85,85,"Tanker, reserved for future use",https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=67&page=1
VesselTypeCodes2018.pdf,Tanker,86,86,"Tanker, reserved for future use",https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=68&page=1
VesselTypeCodes2018.pdf,Tanker,87,87,"Tanker, reserved for future use",https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=69&page=1
VesselTypeCodes2018.pdf,Tanker,88,88,"Tanker, reserved for future use",https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=70&page=1
VesselTypeCodes2018.pdf,Tanker,89,89,"Tanker, no additional information",https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=71&page=1
VesselTypeCodes2018.pdf,Other,90,90,"Other Type, all ships of this type",https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=72&page=1
VesselTypeCodes2018.pdf,Other,91,91,"Other Type, hazardous category A",https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=73&page=1
VesselTypeCodes2018.pdf,Other,92,92,"Other Type, hazardous category B",https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=74&page=1
VesselTypeCodes2018.pdf,Other,93,93,"Other Type, hazardous category C",https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=75&page=1
VesselTypeCodes2018.pdf,Other,94,94,"Other Type, hazardous category D",https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=76&page=1
VesselTypeCodes2018.pdf,Other,95,95,"Other Type, reserved for future use",https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=77&page=1
VesselTypeCodes2018.pdf,Other,96,96,"Other Type, reserved for future use",https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=78&page=1
VesselTypeCodes2018.pdf,Other,97,97,"Other Type, reserved for future use",https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=79&page=1
VesselTypeCodes2018.pdf,Other,98,98,"Other Type, reserved for future use",https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=80&page=1
VesselTypeCodes2018.pdf,Other,99,99,"Other Type, no additional information",https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=81&page=1
VesselTypeCodes2018.pdf,Other,100 to 199,100 to 199,Reserved for regional use,https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=82&page=1
VesselTypeCodes2018.pdf,Other,200 to 255,200 to 255,Reserved for future use,https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=83&page=1
VesselTypeCodes2018.pdf,Other,256 to 999,256 to 999,No designation,https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=84&page=1
